-15.3714 254.108 -0.0008 18.844
-15.4014 255.103 -0.025 18.3956
-15.4156 255.651 -0.0576 18.9152
-15.3412 252.51 -0.0134 18.2588
-15.3554 254.21 0.0002 18.5124
-15.318 252.687 -0.0096 18.3848
-15.4118 255.375 -0.0056 18.7416
-15.2906 251.684 0.004 18.3128
-15.4034 255.135 0.0444 18.4192
-15.3526 253.399 -0.0054 18.6076
-15.3618 254.402 0.0294 18.4524
-15.3776 254.185 -0.0682 18.4308
-15.3866 254.544 0.0656 18.5256
-15.3144 251.781 -0.1086 18.2524
-15.3276 252.548 -0.0284 18.1944
-15.3264 252.406 -0.0692 18.476
-15.3942 254.758 0.045 18.5188
-15.3624 253.554 0.018 17.92
-15.3862 254.341 0.001 18.47
-15.409 254.978 0.042 18.76
-15.4026 254.826 -0.058 18.0792
-15.3426 253.13 0.0046 18.4972
-15.4112 255.093 0.111 19.1972
-15.3936 254.173 -0.1172 18.6296
-15.4528 256.548 0.0074 18.8068
-15.3924 254.686 -0.0508 18.0776
-15.415 254.731 0.0086 18.594
-15.363 253.519 0.0554 18.3436
-15.339 252.924 -0.102 18.4936
-15.3308 252.513 -0.0216 18.1344
-15.3214 252.608 0.0292 18.5744
-15.415 255.277 -0.0344 18.488
-15.3518 253.756 0.0018 18.4724
-15.288 251.362 0.0562 18.0916
-15.3392 252.669 -0.0744 18.3392
-15.466 256.497 -0.0226 18.83
-15.3494 253.241 0.0146 18.6316
-15.4022 254.9 -0.0826 18.3092
-15.3614 253.792 0.0984 18.636
-15.3794 253.906 0.0918 18.0916
-15.4408 256.025 0.05 19.0568
-15.397 254.873 0.0238 19.1644
-15.4944 257.758 -0.0412 18.9112
-15.3674 254.452 -0.0126 18.6132
-15.3046 252.054 -0.0426 18.3708
-15.409 254.93 -0.0344 18.7152
-15.3898 254.564 -0.035 18.406
-15.4448 256.314 -0.0562 18.398
-15.3882 254.423 0.021 18.2972
-15.4496 256.257 -0.023 18.7436
